src,dst,scion_avg,scion_std,ip_avg,ip_std
oregon,frankfurt,142.9692,0.5013683276793645,139.918,0.097
oregon,singapore,232.942,0.21613768759751326,230.38,0.304
oregon,tokyo,104.3612,0.2425689592672572,100.932,0.649
frankfurt,oregon,143.776,1.1429197259650348,139.97,0.086
frankfurt,singapore,180.1566,0.43658309632874365,173.503,0.457
frankfurt,tokyo,245.2184,0.16470215542001174,223.015,0.307
singapore,oregon,233.3958,1.108511704944966,230.354,0.024
singapore,frankfurt,180.442,0.2458881859707774,173.501,0.053
singapore,tokyo,82.4516,0.185158850720132,87.898,0.021
tokyo,oregon,104.196,0.26482824622762435,100.911,0.025
tokyo,frankfurt,261.0098,0.34548907363331577,223.002,0.053
tokyo,singapore,84.8708,5.2584426591910285,87.887,0.021
