src,dst,scion_avg,scion_std,ip_avg,ip_std
oregon,frankfurt,144.6166,1.5280990805572843,139.423,0.418
oregon,singapore,233.5332,0.5942631571955324,230.287,0.255
oregon,tokyo,104.381,0.7227669057171866,102.002,0.405
frankfurt,oregon,143.3926,0.4085894027015428,139.397,0.472
frankfurt,singapore,180.1078,0.2752502497728191,169.561,0.057
frankfurt,tokyo,244.8898,0.1880231368741532,222.306,0.436
singapore,oregon,234.1614,2.1204968285757944,230.299,0.023
singapore,frankfurt,180.5216,0.2534862915425637,169.555,0.095
singapore,tokyo,90.9826,0.2044108607682055,81.57,0.041
tokyo,oregon,104.0916,0.3599774992968307,102.044,0.024
tokyo,frankfurt,264.2976,0.3089430368207122,222.32,0.085
tokyo,singapore,91.1914,0.5624320403391019,81.586,0.063
