Resolved local address:
  172.31.6.223
Using path:
  Hops: [16-ffaa:0:1009 1>7 16-ffaa:0:1001 6>1 16-ffaa:0:1005 7>1 16-ffaa:0:1008] MTU: 1472 NextHop: 172.31.6.223:30001

PING 16-ffaa:0:1008,0.0.0.0:0 pld=0B scion_pkt=144B
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=0 time=146.112ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=1 time=143.374ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=2 time=143.736ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=3 time=143.154ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=4 time=142.818ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=5 time=143.908ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=6 time=144.555ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=7 time=148.142ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=8 time=142.987ms
152 bytes from 16-ffaa:0:1008,0.0.0.0: scmp_seq=9 time=143.972ms

--- 16-ffaa:0:1008,0.0.0.0 statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9.145797s
