src,dst,scion_avg,scion_std,ip_avg,ip_std
oregon,frankfurt,143.368,3.7179138639834,140.224,0.413
oregon,singapore,233.3638,0.41334271494729635,230.341,0.607
oregon,tokyo,103.7942,1.3280392313482339,101.943,0.399
frankfurt,oregon,142.1944,0.6282294962830036,140.188,0.483
frankfurt,singapore,182.26080000000002,4.966561104023581,183.157,0.469
frankfurt,tokyo,262.0912,0.2907003611968798,222.278,0.599
singapore,oregon,233.208,0.4269326644800001,230.413,0.062
singapore,frankfurt,179.3978,0.4816105272935785,183.164,0.057
singapore,tokyo,86.1696,3.1049790337456353,89.306,0.904
tokyo,oregon,104.562,2.755797888089765,102.01,0.037
tokyo,frankfurt,259.3962,0.28836990134200646,222.315,0.11
tokyo,singapore,85.1284,0.8798836854948492,89.299,0.053
