src,dst,scion_avg,scion_std,ip_avg,ip_std
oregon,frankfurt,142.84,0.09738326344911744,139.656,0.473
oregon,singapore,233.7176,0.9695412832881357,230.366,0.608
oregon,tokyo,104.2992,0.14915662908499966,102.015,0.288
frankfurt,oregon,143.6736,1.1266291759048335,139.668,0.074
frankfurt,singapore,173.917,1.2112922851236219,175.117,0.265
frankfurt,tokyo,255.5482,0.6723452981913405,221.929,0.315
singapore,oregon,233.0172,0.4867881469386905,230.381,0.275
singapore,frankfurt,174.6236,2.5789575025579556,175.178,0.076
singapore,tokyo,83.2864,0.3168032512459397,80.483,0.028
tokyo,oregon,104.696,1.0750025581364901,102.036,1.645
tokyo,frankfurt,263.2418,0.2174010119571717,221.908,0.038
tokyo,singapore,84.515,1.3893737798015329,80.44,0.065
