link,avg,std
internet,172.979,0.544
sbas,171.562,4.261
tunnelA,6.81,0.105
tunnelB,21.03,0.167
nodetonode,142.6195,0.3382813588978571
expected,170.4595,0.3915970860179897
overhead,1.1025000000000205,n/a
