link,avg,std
internet,172.961,0.325
sbas,170.487,0.893
tunnelA,6.787,0.162
tunnelB,20.114,0.967
nodetonode,142.855,0.2554842895800468
expected,169.756,1.0132152891770936
overhead,0.7309999999999945,n/a
