Resolved local address:
  172.31.18.109
Using path:
  Hops: [16-ffaa:0:1008 1>7 16-ffaa:0:1005 1>6 16-ffaa:0:1001 7>1 16-ffaa:0:1009] MTU: 1472 NextHop: 172.31.18.109:30001

PING 16-ffaa:0:1009,0.0.0.0:0 pld=0B scion_pkt=144B
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=0 time=143.399ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=1 time=144.251ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=2 time=143.359ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=3 time=143.226ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=4 time=143.573ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=5 time=144.013ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=6 time=143.915ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=7 time=143.293ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=8 time=143.66ms
152 bytes from 16-ffaa:0:1009,0.0.0.0: scmp_seq=9 time=143.407ms

--- 16-ffaa:0:1009,0.0.0.0 statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9.146647s
