link,avg,std
internet,172.981,0.493
sbas,171.469,2.677
tunnelA,20.69,0.438
tunnelB,6.799,0.15
nodetonode,143.6096,0.3442961257728895
expected,171.0986,0.5769608498175776
overhead,0.3703999999999894,n/a
